"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","FORECAST_ACTUAL_INDICATOR","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2025-04-01",1,22871,"A",23377,20754,1254,6606,0,18720,0,6,1026,1002,992,575,0,0,998,997,996,223,110
"2025-04-01",2,22694,"A",23200,20633,1272,6606,0,18720,0,6,1165,1002,992,575,0,0,998,997,996,214,2
"2025-04-01",3,22557,"A",23063,20514,1323,6606,0,18720,0,6,1271,1002,992,624,0,0,999,997,996,204,0
"2025-04-01",4,22649,"A",23155,20675,1373,6606,0,18720,0,6,1344,1002,992,626,0,0,999,997,996,201,0
"2025-04-01",5,22497,"A",23003,20558,1396,6606,0,18720,0,6,1342,1002,993,599,0,0,999,997,996,127,0
"2025-04-01",6,22059,"A",22565,20179,1419,6606,0,18720,0,6,1167,1002,992,598,0,0,999,997,996,120,0
"2025-04-01",7,21679,"A",22185,19809,1458,6606,0,18720,0,6,1281,1002,992,554,0,0,822,997,995,10,0
"2025-04-01",8,21382,"A",21896,19508,1497,6606,0,18720,0,6,1289,1002,992,551,0,0,816,997,996,-8,0
"2025-04-01",9,21019,"A",21912,19158,1533,6606,0,18720,0,6,1532,1002,992,203,39,0,644,997,996,-387,86
"2025-04-01",10,21056,"A",21994,19183,1568,6606,0,18720,0,6,1551,1003,992,187,0,0,619,997,996,-432,125
"2025-04-01",11,21652,"A",24021,19749,1647,6606,0,18720,0,6,1736,1003,992,-620,0,0,-187,997,995,-1056,282
"2025-04-01",12,22753,"A",25336,20741,1726,6606,0,18720,0,6,1699,1003,986,-750,0,0,-241,997,993,-1086,300
"2025-04-01",13,24906,"A",27792,22694,1791,6606,0,18720,0,6,2230,999,761,-1015,8,0,-741,997,931,-624,300
"2025-04-01",14,26729,"A",29533,24375,1855,6606,11,18720,0,6,2201,995,744,-1003,0,0,-756,997,928,-539,300
"2025-04-01",15,28981,"A",30046,26393,1842,6606,346,18720,0,6,2105,576,701,-292,-68,0,-156,997,966,595,-43
"2025-04-01",16,29863,"A",30978,27136,1829,6606,1276,18720,0,6,1999,553,705,-246,-128,0,-90,997,969,696,-145
"2025-04-01",17,30923,"A",31991,28057,1755,6606,2468,18720,0,7,1552,974,974,793,-211,0,926,997,994,645,-350
"2025-04-01",18,30006,"A",31007,27200,1680,6606,3810,18720,0,7,1139,1002,992,1002,-144,0,999,997,995,650,-350
"2025-04-01",19,28834,"A",29764,26072,1684,6606,5402,18720,0,7,1270,1002,992,1003,-73,0,1018,997,996,965,-350
"2025-04-01",20,27117,"A",28119,24374,1687,6606,7082,18720,0,7,1377,1002,992,1003,-7,0,1019,997,996,987,-488
"2025-04-01",21,25021,"A",25880,22443,1807,6606,8486,18720,0,7,1630,1002,992,1003,-16,0,1019,997,995,987,-336
"2025-04-01",22,23257,"A",24045,20846,1926,6606,9746,18720,0,7,1921,1002,992,1002,-68,0,1019,997,996,987,-213
"2025-04-01",23,21869,"A",22469,19573,2105,6606,10799,18720,0,6,2162,1002,993,1003,-36,56,1019,997,996,987,-58
"2025-04-01",24,20888,"A",21414,18669,2283,6606,11630,18720,0,6,2531,1000,992,1003,60,11,1019,997,994,987,-20
"2025-04-01",25,20312,"A",20896,18141,2438,6606,12206,18720,0,64,2657,909,983,1003,138,0,1019,997,922,987,-20
"2025-04-01",26,19765,"A",20330,17732,2593,6606,12509,18720,0,65,2119,896,975,1002,88,0,1019,997,911,987,203
"2025-04-01",27,19448,"A",20013,17458,2789,6606,12569,18720,0,65,2356,463,710,1002,1,0,1019,997,696,987,300
"2025-04-01",28,18989,"A",19554,17039,2985,6606,12419,18720,0,65,2324,432,686,1003,0,0,1019,997,684,985,300
"2025-04-01",29,18490,"A",19055,16606,3018,6606,11961,18720,0,65,1948,366,493,1003,0,0,1000,997,755,892,300
"2025-04-01",30,18354,"A",18919,16497,3050,6606,11322,18720,0,65,1692,369,491,1003,0,0,999,997,763,795,300
"2025-04-01",31,18494,"A",19614,16660,3050,6606,10478,18720,0,65,1444,841,891,1003,0,0,999,997,874,-555,300
"2025-04-01",32,19354,"A",20618,17488,3049,6606,9430,18720,0,65,1818,874,917,1002,0,0,999,997,885,-699,300
"2025-04-01",33,20991,"A",21938,19035,3009,6606,8174,18720,0,65,2145,809,907,1003,0,0,999,997,989,-382,300
"2025-04-01",34,23140,"A",24016,21058,2968,6606,6814,18720,0,10,2864,808,909,1003,42,0,999,997,996,-366,300
"2025-04-01",35,24957,"A",26033,22756,2852,6606,5388,18720,0,7,3153,988,987,964,169,0,999,997,996,-569,300
"2025-04-01",36,26867,"A",27946,24576,2736,6606,3955,18720,0,7,3326,1002,992,961,82,0,999,997,996,-572,300
"2025-04-01",37,28421,"A",29112,26114,2724,6606,2563,18720,0,7,3297,1002,993,921,0,0,878,997,996,-184,300
"2025-04-01",38,29930,"A",30571,27657,2712,6606,1162,18720,0,7,3524,1002,992,919,33,0,873,997,996,-134,300
"2025-04-01",39,31153,"A",31696,28873,2854,6606,217,18720,0,7,3343,1002,992,935,-36,0,995,997,996,697,300
"2025-04-01",40,31434,"A",32115,29112,2995,6606,1,18720,0,7,3459,1003,993,935,37,0,999,997,997,761,-174
"2025-04-01",41,31889,"A",32696,29489,3062,6606,0,18720,0,7,3459,1002,993,1000,-13,0,999,997,997,970,-287
"2025-04-01",42,31139,"A",32062,28791,3128,6606,0,18720,0,7,3564,999,993,1003,-16,0,999,997,997,975,-400
"2025-04-01",43,29772,"A",30679,27550,3182,6606,0,18720,0,7,3720,819,992,933,0,0,935,997,996,590,-400
"2025-04-01",44,28492,"A",29356,26383,3236,6606,0,18720,0,7,3646,803,991,921,0,0,933,997,996,550,-357
"2025-04-01",45,26599,"A",27305,24634,3209,6606,0,18720,0,6,3589,678,930,620,0,0,791,997,997,132,-200
"2025-04-01",46,25505,"A",26397,23602,3181,6606,0,18720,0,6,3506,671,923,619,-24,0,786,997,993,66,-362
"2025-04-01",47,23718,"A",25697,21994,3112,6606,0,18720,0,64,3497,742,821,604,-12,0,557,996,856,-915,-488
"2025-04-01",48,22866,"A",24880,21173,3043,6606,0,18720,0,65,3206,747,812,564,0,0,548,997,842,-994,-455
"2025-04-02",1,21959,"A",24101,20355,3013,6606,0,18720,0,64,3188,719,713,-193,0,0,298,997,645,-1071,-314
"2025-04-02",2,21744,"A",23836,20129,2982,6606,0,18720,0,65,3168,716,706,-211,0,0,288,997,641,-1077,-239
"2025-04-02",3,21680,"A",23840,20059,2896,6606,0,18720,0,64,3144,639,725,-249,0,0,276,997,927,-1090,-257
"2025-04-02",4,21874,"A",24038,20283,2810,6606,0,18720,0,64,3237,635,730,-250,0,0,275,997,941,-1091,-259
"2025-04-02",5,22040,"A",23989,20427,2725,6606,0,18720,0,65,3110,716,864,-107,0,0,475,997,764,-1095,-182
"2025-04-02",6,21452,"A",23477,19852,2639,6606,0,18720,0,64,3059,721,872,-105,0,0,482,997,753,-1094,-262
"2025-04-02",7,20820,"A",23075,19224,2546,6606,0,18720,0,64,3135,638,818,-344,0,0,450,997,717,-1051,-296
"2025-04-02",8,20777,"A",23063,19085,2452,6606,0,18720,0,64,3135,632,812,-355,0,0,448,997,707,-1048,-319
"2025-04-02",9,20545,"A",22562,18799,2369,6606,0,18720,0,64,2744,700,709,338,0,0,469,997,444,-1048,-405
"2025-04-02",10,20480,"A",22570,18694,2286,6606,0,18720,0,64,2537,705,701,377,0,0,470,997,436,-1047,-479
"2025-04-02",11,21249,"A",23225,19393,2241,6606,0,18720,0,58,2638,814,691,132,0,0,697,997,776,-1044,-374
"2025-04-02",12,22374,"A",24263,20455,2195,6606,0,18720,0,6,2494,824,699,122,0,0,705,997,803,-1039,-344
"2025-04-02",13,24569,"A",26386,22369,2182,6606,0,18720,0,6,2537,990,974,104,-42,0,402,997,984,-854,-415
"2025-04-02",14,26173,"A",27832,23792,2168,6606,27,18720,0,6,2265,1003,992,121,-115,0,397,997,996,-737,-301
"2025-04-02",15,28796,"A",29969,26155,2082,6606,543,18720,0,6,1741,1003,992,948,-267,0,971,997,996,771,-400
"2025-04-02",16,29399,"A",30831,26614,1996,6606,1710,18720,0,6,1693,1003,992,1003,-413,-3,999,997,996,939,-510
"2025-04-02",17,29691,"A",31251,26791,1859,6606,3067,18720,0,6,1442,1002,992,1002,-451,-87,999,997,996,985,-516
"2025-04-02",18,28638,"A",30161,25671,1722,6606,4467,18720,0,6,950,1002,993,1003,-451,-50,1000,997,996,989,-516
"2025-04-02",19,27378,"A",28940,24442,1837,6606,5927,18720,0,6,777,1002,992,1002,-451,-89,1018,997,996,989,-516
"2025-04-02",20,25784,"A",27316,22924,1951,6606,7318,18720,0,6,681,1002,992,1002,-451,-59,1019,997,997,975,-516
"2025-04-02",21,23942,"A",25606,21274,2214,6606,8638,18720,0,6,512,1002,992,1003,-451,-193,1019,997,995,442,-514
"2025-04-02",22,22411,"A",24011,19864,2477,6606,9834,18720,0,6,272,1001,992,874,-451,-128,1019,997,995,385,-515
"2025-04-02",23,20743,"A",23093,18264,2645,6606,10827,18720,0,64,720,942,993,-366,-451,-113,1019,997,995,-341,-515
"2025-04-02",24,20242,"A",22821,17872,2812,6606,11610,18720,0,64,1003,938,993,-398,-451,-264,1019,997,995,-394,-508
"2025-04-02",25,20212,"A",22573,17800,2902,6606,12160,18720,0,65,1328,998,992,493,-406,-415,1019,997,995,-545,-430
"2025-04-02",26,19852,"A",22225,17494,2991,6606,12437,18720,0,65,1441,996,982,596,-351,-430,1019,967,971,-521,-506
"2025-04-02",27,19227,"A",21005,16969,3039,6606,12420,18720,0,65,1410,566,602,1002,-351,-347,1019,596,81,391,-515
"2025-04-02",28,18692,"A",20469,16516,3087,6606,12273,18720,0,65,861,535,569,1002,-351,-346,1019,520,14,470,-515
"2025-04-02",29,18379,"A",20499,16247,3127,6606,11838,18720,0,65,605,399,301,1004,-351,-347,1000,146,-342,680,-515
"2025-04-02",30,18422,"A",20571,16292,3167,6606,11199,18720,0,65,666,386,290,1003,-352,-347,999,129,-370,679,-515
"2025-04-02",31,18644,"A",20978,16555,3167,6606,10322,18720,0,65,1171,17,552,1003,-352,-346,999,502,-556,93,-515
"2025-04-02",32,19485,"A",21797,17345,3166,6606,9208,18720,0,64,1350,-1,580,1003,-397,-347,999,578,-488,36,-515
"2025-04-02",33,21433,"A",23903,19235,3107,6606,7836,18720,0,64,1073,704,919,1003,-452,-411,999,951,871,-528,-515
"2025-04-02",34,23067,"A",25587,20783,3047,6606,6604,18720,0,64,1344,770,944,1003,-452,-461,999,997,997,-528,-515
"2025-04-02",35,25216,"A",27122,22796,2867,6606,5155,18720,0,65,1246,988,989,1003,-452,-374,999,997,996,518,-515
"2025-04-02",36,26962,"A",28847,24484,2686,6606,3760,18720,0,34,1187,1000,988,1003,-452,-384,999,998,996,608,-515
"2025-04-02",37,28527,"A",30364,26058,2552,6606,2433,18720,0,6,1490,841,831,1003,-452,-364,999,997,944,918,-515
"2025-04-02",38,29414,"A",31274,26936,2418,6606,1172,18720,0,6,1653,833,825,1003,-452,-387,999,997,941,940,-515
"2025-04-02",39,30321,"A",32111,27742,2510,6606,250,18720,0,6,1837,991,982,1002,-452,-317,982,997,993,983,-515
"2025-04-02",40,30875,"A",32736,28267,2601,6606,2,18720,0,6,1924,1002,993,1002,-452,-388,981,997,997,986,-515
"2025-04-02",41,31274,"A",33181,28608,2578,6606,0,18720,0,6,1995,933,993,1002,-452,-434,993,997,997,991,-515
"2025-04-02",42,30634,"A",32537,27909,2555,6606,0,18720,0,6,2022,926,991,1003,-452,-430,993,997,995,991,-515
"2025-04-02",43,29379,"A",31361,26826,2571,6606,0,18720,0,6,1750,801,931,1002,-452,-509,999,997,946,991,-515
"2025-04-02",44,28183,"A",30057,25774,2587,6606,0,18720,0,6,1700,792,927,1003,-452,-401,999,997,943,991,-515
"2025-04-02",45,27012,"A",28726,24719,2572,6606,0,18720,0,6,1090,717,930,1003,-443,-250,872,997,994,991,-515
"2025-04-02",46,25405,"A",26986,23230,2557,6606,0,18720,0,6,571,708,924,1002,-451,-109,867,997,992,977,-515
"2025-04-02",47,23822,"A",25400,21876,2515,6606,0,18720,0,6,816,540,704,697,-452,-105,854,997,813,445,-515
"2025-04-02",48,22948,"A",24678,21091,2473,6606,0,18720,0,6,822,531,692,685,-452,-257,853,997,807,411,-515
"2025-04-03",1,22602,"A",24482,20736,2423,6606,0,18720,0,6,476,937,810,762,-451,-408,843,997,985,531,-515
"2025-04-03",2,22436,"A",24379,20528,2372,6606,0,18720,0,6,358,964,823,763,-452,-470,842,997,997,532,-515
"2025-04-03",3,22200,"A",24180,20353,2347,6606,0,18720,0,12,228,1001,982,895,-451,-502,873,997,996,229,-515
